recipe_id,ingredient_name
2858475,coriander leaves
2858475,double cream
2858475,garlic
2858475,fresh ginger
2858475,red onions
2858475,apple cider vinegar
2858475,chilli flakes
2858475,cumin seeds
2858475,sourdough bread
2858475,green chillies
2858475,canned lima beans
2858475,mature cheddar
2858475,mild curry powder
2858475,
2858477,feta cheese
2858477,pecorino Romano cheese
2858477,ricotta
2858477,ground cinnamon
2858477,apple cider vinegar
2858477,eggs
2858477,Fresno chillies
2858477,egg yolks
2858477,unsalted butter
2858477,plum tomatoes
2858477,
2858479,celery
2858479,chives
2858479,coriander leaves
2858479,cinnamon sticks
2858479,dill
2858479,garlic
2858479,leeks
2858479,lemons
2858479,parsley
2858479,turmeric
2858479,chicken stock
2858479,chilli flakes
2858479,cumin seeds
2858479,canned cannellini beans
2858479,tubetti pasta
2858479,frozen peas
2858479,
2858486,green onions
2858486,soy sauce
2858486,chicken breasts
2858486,coriander leaves
2858486,lemons
2858486,turmeric
2858486,sunflower oil
2858486,chicken stock
2858486,cumin seeds
2858486,egg whites
2858486,
2858487,pecorino Romano cheese
2858487,coriander leaves
2858487,apple cider vinegar
2858487,cream cheese
2858487,eggs
2858487,sunflower oil
2858487,Lancashire cheese
2858487,Fresno chillies
2858487,coarse polenta
2858487,
2858490,green onions
2858490,eggplants
2858490,fenugreek seeds
2858490,fresh ginger
2858490,nigella seeds
2858490,onions
2858490,tomato paste
2858490,turmeric
2858490,apple cider vinegar
2858490,Greek yoghurt
2858490,cumin seeds
2858490,
2858491,caraway seeds
2858491,mint
2858491,nigella seeds
2858491,red onions
2858491,dried oregano
2858491,paprika
2858491,parsley
2858491,yoghurt
2858491,Aleppo pepper
2858491,datterini tomatoes
2858491,
2858492,green onions
2858492,feta
2858492,crème fraîche
2858492,mint
2858492,parsley
2858492,za'atar
2858492,beetroots
2858492,
2858493,green onions
2858493,celery
2858493,Roquefort cheese
2858493,coriander leaves
2858493,sour cream
2858493,garlic
2858493,limes
2858493,onions
2858493,cream cheese
2858493,Fresno chillies
2858493,dried chipotle chillies
2858493,rotisserie chicken
2858493,buffalo mozzarella
2858493,dried cascabel chillies
2858493,plum tomatoes
2858493,
2864518,pecorino Romano cheese
2864518,chives
2864518,double cream
2864518,sour cream
2864518,garlic
2864518,lemons
2864518,nutmeg
2864518,onions
2864518,paprika
2864518,pine nuts
2864518,egg yolks
2864518,frozen spinach
2864518,unsalted butter
2864518,
2864520,caraway seeds
2864520,carrots
2864520,feta cheese
2864520,cilantro
2864520,ground cinnamon
2864520,ground cumin
2864520,garlic
2864520,fresh ginger
2864520,lemons
2864520,Medjool dates
2864520,onions
2864520,parsley
2864520,tomato paste
2864520,dried chickpeas
2864520,serrano chiles
2864520,fresh bay leaves
2864520,
2864523,carrots
2864523,Parmesan cheese
2864523,coriander leaves
2864523,sour cream
2864523,limes
2864523,onions
2864523,eggs
2864523,plain flour
2864523,milk
2864523,cumin seeds
2864523,jalapeno chillies
2864523,white cabbage
2864523,frozen corn
2864523,unsalted butter
2864523,oregano
2864523,dried ancho chillies
2864523,vine tomatoes
2864523,
2864575,green onions
2864575,sesame seeds
2864575,soy sauce
2864575,coriander leaves
2864575,coriander seeds
2864575,fresh ginger
2864575,onions
2864575,apple cider vinegar
2864575,Aleppo chiles
2864575,Fresno chillies
2864575,white cabbage
2864575,dried red chillies
2864575,salted roasted cashews
2864575,toasted sesame oil
2864575,anchovies in oil
2864575,Chinese cabbage
2864575,sea salt flakes
2864575,
2864585,baguette
2864585,fresh ginger
2864585,limes
2864585,parsley
2864585,apple cider vinegar
2864585,daikon radishes
2864585,serrano chillies
2864585,beetroots
2864585,anchovies in oil
2864585,unsalted butter
2864585,
2870609,shallots
2870609,soy sauce
2870609,caraway seeds
2870609,coriander leaves
2870609,garlic
2870609,fresh ginger
2870609,makrut lime leaves
2870609,limes
2870609,maple syrup
2870609,star anise
2870609,tomato paste
2870609,turmeric
