id,title,isbn13,published_date,format,pages,url,cover_image_url,cover_image_id
206742,Ottolenghi Test Kitchen: Extra Good Things,9781529109474,2022-09-29,Hardcover,256,https://www.eatyourbooks.com/library/206742/ottolenghi-test-kitchen-extra-good,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/ottolenghi-test-kitchen-extra-good-206742l1.jpg,books/ottolenghi-test-kitchen-extra-good-206742l1.jpg
205592,One: Simple One-Pan Wonders,9781250871008,2023-01-10,Hardcover,360,https://www.eatyourbooks.com/library/205592/one-simple-one-pan-wonders,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/one-simple-one-pan-wonders-205592l2.jpg,books/one-simple-one-pan-wonders-205592l2.jpg
205590,One: Simple One-Pan Wonders,9780241431108,2022-09-01,Hardcover,408,https://www.eatyourbooks.com/library/205590/one-simple-one-pan-wonders,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/one-simple-one-pan-wonders-205590l1.jpg,books/one-simple-one-pan-wonders-205590l1.jpg
203961,Persiana Everyday: All New Recipes from the Best Selling Author of Persiana,9781783255085,2022-08-04,Hardcover,240,https://www.eatyourbooks.com/library/203961/persiana-everyday-all-new-recipes,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/persiana-everyday-all-new-recipes-203961l1.jpg,books/persiana-everyday-all-new-recipes-203961l1.jpg
203543,Mezcla: Recipes to Excite,9781529148091,2022-07-07,Hardcover,288,https://www.eatyourbooks.com/library/203543/mezcla-recipes-to-excite,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/mezcla-recipes-to-excite-203543l2.jpg,books/mezcla-recipes-to-excite-203543l2.jpg
125945,Best Lunch Box Ever: Ideas and Recipes for School Lunches Will Kids Love,9781452108292,2013-09-01,Hardcover,156,https://www.eatyourbooks.com/library/125945/best-lunch-box-ever-ideas,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/best-lunch-box-ever-ideas-125945l2.jpg,books/best-lunch-box-ever-ideas-125945l2.jpg
198327,Taste: My Life Through Food,9781982168018,2021-10-05,Hardcover,320,https://www.eatyourbooks.com/library/198327/taste-my-life-through-food,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/taste-my-life-through-food-198327l1.jpg,books/taste-my-life-through-food-198327l1.jpg
200159,Ottolenghi Test Kitchen: Shelf Love,9781529109481,2021-09-30,Flexibound,256,https://www.eatyourbooks.com/library/200159/ottolenghi-test-kitchen-shelf-love,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/ottolenghi-test-kitchen-shelf-love-200159l1.jpg,books/ottolenghi-test-kitchen-shelf-love-200159l1.jpg
198224,The Great British Bake Off: Love to Bake,9780751574685,2020-10-15,,288,https://www.eatyourbooks.com/library/198224/the-great-british-bake-off,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/the-great-british-bake-off-198224l1.jpg,books/the-great-british-bake-off-198224l1.jpg
121900,Mary Berry's Cookery Course: A Step-by-Step Masterclass in Home Cooking,9781409367956,2013-06-03,Hardcover,352,https://www.eatyourbooks.com/library/121900/mary-berrys-cookery-course-a,https://f8383f377ae0dbf72580-915d22ed3472915dfddff20d58b567d0.ssl.cf1.rackcdn.com/mary-berrys-cookery-course-a-121900l3.jpg,books/mary-berrys-cookery-course-a-121900l3.jpg
