book_id,recipe_id,date_added,date_cooked,comment
193233,2152389,2022-04-01,,I really enjoyed them! We ate them really quickly!
190162,2130886,2022-02-25,2000-03,
190162,2130986,2022-02-21,2000-03,
167203,1533070,2022-02-15,,I found these unexpectedly phenomenally good - the right level of sweetness coming from the cranberries and the fennel seeds added a unique flavour. Perfectly good with savoury and sweet toppings.
182073,1855688,2022-02-01,,"For a two layer cake in a 20xm spring form, I doubled the cake recipe but not the cream and ganache. It was perfect!"
200159,2602353,2021-11-23,,I made the version with beans and they came out somewhat dry and nevertheless tasty
200159,2602133,2021-11-11,,The smell in the kitchen was amazing!
200159,2602358,2021-11-07,,Delicious served with coconut rice.
200159,2601466,2021-11-07,,This was delicious - with dried apricots and cardamom. I used 1 tsp ground cardamom and next time will double it.
200159,2602819,2021-11-04,,This was delicious even though I made it with tinned peaches and frozen blueberries. I didn't see the point of the roasting the fruit so next time I will skip this step to compare.
200159,2602368,2021-10-29,,The flavours were spectacular and overall the whole thing wasn't too hard to put together.
200159,2602150,2021-10-14,,"This was good but too heavy, smaller portions would be better. Next time I'd use skimmed milk and skip the double cream."
200159,2602355,2021-10-02,,I made this without the tahini or yogurt and it was delicious!
200159,2602351,2021-10-02,,I used tinned tomatoes and was delicious!
195052,2473746,2021-09-30,,"I made this and by far is the biggest disappointment in this book. I didn't like it, I thought there was too much chocolate, it was too heavy because of all the nuts - what a shame given the ingredients. It makes way more than necessary for the dish and unfortunately it will go to the bin. I won't be making it again."
195052,2473710,2021-08-08,,"This is very good without the orange,"
187722,2019594,2021-06-30,,"This was an amazing cake - very moist, just what a chocolate cake should be. On top of it, soo easy to make."
198372,2484333,2021-06-15,,This turned out too bitter - maybe because I used pickled beetroot?
198372,2484291,2021-06-05,,I made this but added some coriander which turned something delicious into completely inedible. Will have to make it again.
198372,2484345,2021-05-25,,"This was delicious with the following substitutions: I used almonds instead if pistachios, I also didn’t have enough herbs so added a handful of spinach, and I used salmon fillets. Served with boiled potatoes. Yummy"
198372,2484327,2021-05-16,,This was good but next time I'll reduce the pomegranate molasses.
198372,2484341,2021-05-13,,I used chana masala spice blend and it was great!
182073,1855668,2021-04-17,,"This was very tasty but I found the 25 minutes on 150 fan were not enough for one large cake, it clearly needed longer."
176234,1686299,2021-04-11,,These spread a lot when baking so next time should put them in the fridge before baking and/or leave more space between them.
176234,1685094,2021-04-11,,This was delicious with some extra ketchup in the meat since it was a bit dry.
176234,1686295,2021-04-05,,"The salad was delicious, I didn't have any onions, and didn't miss them :)"
176234,1686303,2021-03-27,,This was soooo delicious!
176234,1685099,2021-03-24,,This was delicious. I didn’t have any Jerusalem artichoke so added some petit pois instead.
179000,1843947,2021-03-17,,"I added some tomatoes, and I used sweet potatoes, and I didn't have any breadcrumbs. Overall, fairly boring."
