recipe_id,category_name
2858475,Vegetarian
2858475,Cooking for 1 or 2
2858475,"Chutneys, pickles & relishes"
2858475,Lunch
2858475,Main course
2858477,Vegetarian
2858477,"Sauces, general"
2858477,Palestinian
2858477,Main course
2858479,Vegetarian
2858479,"Chutneys, pickles & relishes"
2858479,Quick / easy
2858479,Soups
2858479,Italian
2858479,Main course
2858486,Quick / easy
2858486,"Chutneys, pickles & relishes"
2858486,Chinese
2858486,Main course
2858487,Vegetarian
2858487,Fried doughs
2858487,"Sauces, general"
2858487,Snacks
2858490,Vegetarian
2858490,"Chutneys, pickles & relishes"
2858490,"Small plates - tapas, meze"
2858491,Vegetarian
2858491,Salads
2858491,Middle Eastern
2858491,"Small plates - tapas, meze"
2858492,Vegetarian
2858492,"Dips, spreads & salsas"
2858492,"Small plates - tapas, meze"
2858492,Side dish
2858493,Dressings & marinades
2858493,Stews & one-pot meals
2858493,Main course
2864518,Vegetarian
2864518,Egg dishes
2864518,Side dish
2864520,Vegetarian
2864520,Stews & one-pot meals
2864523,Vegetarian
2864523,"Dips, spreads & salsas"
2864523,"Pancakes, waffles & crêpes"
2864523,"Chutneys, pickles & relishes"
2864575,Vegan
2864575,Vegetarian
2864575,Stir-fries
2864575,Main course
2864585,Italian
2864585,Snacks
2870609,Vegan
2870609,Vegetarian
2870609,Cooking for 1 or 2
2870609,"Sauces, general"
2870609,"Chutneys, pickles & relishes"
2870610,Vegan
2870610,Vegetarian
2870610,Egyptian
2870610,Main course
2870611,Vegetarian
2870611,"Pies, tarts & pastries"
2870611,"Chutneys, pickles & relishes"
2870611,Main course
2870612,Vegetarian
2870612,"Pies, tarts & pastries"
2870612,Italian
2870612,Main course
2870613,Vegetarian
2870613,Christmas
2870613,Thanksgiving
2870613,Dressings & marinades
2870613,Side dish
2870614,Cooking for 1 or 2
2870614,Dressings & marinades
2870614,Egg dishes
2870614,Breakfast / brunch
2870615,Vegan
2870615,Vegetarian
2870615,Dressings & marinades
2870615,Side dish
2870616,Vegetarian
2870616,"Bread & rolls, savory"
2870616,Stews & one-pot meals
2870616,Indian
2870616,Main course
2870617,Vegan
2870617,Vegetarian
2870617,"Sauces, general"
2870617,North African
2870618,Vegetarian
2870618,"Dips, spreads & salsas"
2870618,Main course
2870619,"Sauces, general"
2870619,Main course
2870620,Vegetarian
2870620,Dressings & marinades
2870620,Appetizers / starters
2870621,"Sauces, general"
2870621,Appetizers / starters
2870621,Side dish
2870622,Vegetarian
2870622,"Pasta, doughs & sauces"
2870622,Main course
2870623,Vegetarian
2870623,"Sauces, general"
2870623,Middle Eastern
2870623,Breakfast / brunch
2870624,Dressings & marinades
2870624,Salads
2870624,Appetizers / starters
2870624,Side dish
2870625,Vegan
2870625,Vegetarian
2870625,Rice dishes
2870625,Side dish
2870626,"Bread & rolls, savory"
2870626,Scottish
2870626,Main course
2870627,Vegetarian
2870627,"Sauces, general"
2870627,Main course
2870628,"Sauces, general"
2870628,Philippine
2870628,Main course
2870629,Vegan
2870629,Vegetarian
2870629,"Sauces, general"
2870629,Middle Eastern
2870629,Main course
2870630,"Sauces, general"
2870630,Soups
2870630,French
2870630,Main course
2870631,Vegan
2870631,Vegetarian
2870631,"Pancakes, waffles & crêpes"
2870631,"Chutneys, pickles & relishes"
2870631,Breakfast / brunch
2870631,Lunch
2870632,"Sauces, general"
2870632,Spice / herb blends & rubs
2870632,Iraqi
2870632,Snacks
2870633,Vegan
2870633,Vegetarian
2870633,Spice / herb blends & rubs
2870633,Dressings & marinades
2870633,Side dish
2870634,Vegan
2870634,Vegetarian
2870634,Thanksgiving
2870634,"Sauces, general"
2870634,Japanese
2870634,Side dish
2870634,Main course
2870635,"Pies, tarts & pastries"
2870635,Moroccan
2870635,Main course
2870636,Vegan
2870636,Vegetarian
2870636,Dressings & marinades
2870636,Spice / herb blends & rubs
2870636,Side dish
